epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.792,1.34511,2.43532,1.79173,0.68625,0.73936,0.8049,0.58129,1.01532,1.05539,1.48542,0.00332367,0.00332367,0.00332367
2,171.637,1.183,1.66432,1.60908,0.71471,0.78947,0.82653,0.60808,1.01792,1.06027,1.50995,0.00663504,0.00663504,0.00663504
3,248.703,1.23133,1.63092,1.66446,0.65239,0.71686,0.87067,0.65627,0.88979,1.32314,1.4009,0.0099244,0.0099244,0.0099244
4,325.438,1.27587,1.63192,1.68634,0.52889,0.3834,0.39916,0.19081,2.06593,2.86127,2.89216,0.009901,0.009901,0.009901
5,402.163,1.25249,1.57671,1.66709,0.86491,0.86767,0.9358,0.74149,0.76545,0.74583,1.27873,0.009868,0.009868,0.009868
6,479.085,1.20757,1.46708,1.61233,0.87824,0.68791,0.92065,0.60312,1.1977,0.9527,1.63578,0.009835,0.009835,0.009835
7,555.803,1.16556,1.38941,1.58284,0.91682,0.92104,0.98093,0.6472,1.19502,0.67594,1.611,0.009802,0.009802,0.009802
8,632.579,1.14759,1.34448,1.57266,0.92284,0.93279,0.97271,0.7666,0.80043,0.5403,1.26725,0.009769,0.009769,0.009769
9,709.479,1.10755,1.26667,1.53195,0.96634,0.94911,0.99037,0.80101,0.74821,0.46624,1.23654,0.009736,0.009736,0.009736
10,786.194,1.09156,1.23589,1.52236,0.96868,0.95712,0.99104,0.81736,0.69178,0.43555,1.19406,0.009703,0.009703,0.009703
11,862.985,1.07763,1.19388,1.50596,0.97837,0.96133,0.98921,0.74255,0.90774,0.43397,1.395,0.00967,0.00967,0.00967
12,939.717,1.06437,1.16564,1.49534,0.96414,0.96586,0.98763,0.81278,0.69321,0.39908,1.21667,0.009637,0.009637,0.009637
13,1016.52,1.02068,1.11524,1.46056,0.96349,0.92375,0.98517,0.80972,0.70228,0.45431,1.21325,0.009604,0.009604,0.009604
