epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.7448,1.2342,2.4922,1.73411,0.49464,0.62679,0.67941,0.39381,1.18706,1.37188,1.51248,0.00332613,0.00332613,0.00332613
2,143.052,1.00176,1.63403,1.50038,0.82652,0.70868,0.83348,0.61655,0.98533,1.00911,1.40551,0.00663749,0.00663749,0.00663749
3,201.382,1.02404,1.53679,1.51323,0.75986,0.71088,0.81334,0.56885,1.02233,1.10109,1.40624,0.00992685,0.00992685,0.00992685
4,259.387,1.06585,1.58548,1.544,0.67828,0.70619,0.76156,0.44568,1.45021,1.28417,1.95613,0.009901,0.009901,0.009901
5,316.312,1.02051,1.50478,1.50374,0.81485,0.80318,0.90464,0.71898,0.80094,0.7869,1.1738,0.009868,0.009868,0.009868
6,373.824,0.97053,1.42339,1.46274,0.84129,0.80621,0.91207,0.73678,0.7356,0.73956,1.13057,0.009835,0.009835,0.009835
7,430.431,0.96148,1.37427,1.44573,0.84671,0.80949,0.92145,0.73299,0.79598,0.74696,1.17261,0.009802,0.009802,0.009802
8,486.891,0.92373,1.31992,1.41666,0.7831,0.82225,0.88337,0.70293,0.745,0.75399,1.11993,0.009769,0.009769,0.009769
9,542.815,0.91514,1.28203,1.40689,0.77979,0.88361,0.92556,0.73483,0.75539,0.68806,1.1377,0.009736,0.009736,0.009736
10,600.108,0.88476,1.23227,1.38441,0.9093,0.90018,0.96103,0.79753,0.6695,0.60068,1.04034,0.009703,0.009703,0.009703
11,656.687,0.87682,1.24069,1.37916,0.89114,0.87627,0.947,0.77574,0.67488,0.59002,1.03609,0.00967,0.00967,0.00967
12,715.508,0.85965,1.18194,1.3623,0.93433,0.88666,0.95397,0.80948,0.63571,0.5591,1.00202,0.009637,0.009637,0.009637
13,773.145,0.84105,1.16285,1.35037,0.85614,0.87385,0.92447,0.7308,0.82521,0.73084,1.1982,0.009604,0.009604,0.009604
14,828.219,0.82745,1.13122,1.33362,0.89791,0.92156,0.9636,0.83623,0.55233,0.51319,0.94314,0.009571,0.009571,0.009571
15,884.444,0.81385,1.14092,1.32796,0.87623,0.89644,0.95922,0.81948,0.5767,0.53385,0.98948,0.009538,0.009538,0.009538
16,942.029,0.80098,1.10351,1.3196,0.94186,0.90996,0.96328,0.81166,0.65769,0.52955,1.02712,0.009505,0.009505,0.009505
17,997.836,0.80277,1.0736,1.31988,0.88513,0.88388,0.94798,0.80709,0.61427,0.56697,1.00324,0.009472,0.009472,0.009472
18,1055.54,0.79478,1.06989,1.30942,0.95653,0.90783,0.97308,0.84218,0.58329,0.47515,0.98837,0.009439,0.009439,0.009439
19,1110.82,0.78048,1.03127,1.30325,0.96706,0.93352,0.98589,0.86324,0.53946,0.39152,0.95493,0.009406,0.009406,0.009406
20,1165.53,0.77576,1.02713,1.30059,0.93163,0.94608,0.98051,0.84624,0.57518,0.43178,0.97112,0.009373,0.009373,0.009373
21,1221.73,0.76461,1.02038,1.29061,0.95922,0.90339,0.97895,0.84863,0.55577,0.42931,0.95934,0.00934,0.00934,0.00934
22,1279.4,0.7589,1.01097,1.28845,0.93774,0.90641,0.96252,0.84714,0.53878,0.46684,0.9312,0.009307,0.009307,0.009307
23,1335.95,0.75988,0.99714,1.28542,0.96373,0.93005,0.98282,0.85012,0.57646,0.3961,0.96842,0.009274,0.009274,0.009274
24,1391.95,0.74477,0.99437,1.27599,0.93226,0.92362,0.97531,0.84362,0.56406,0.46151,0.9851,0.009241,0.009241,0.009241
25,1446.9,0.74762,0.98875,1.27384,0.94476,0.96467,0.98541,0.88263,0.50679,0.37759,0.92886,0.009208,0.009208,0.009208
26,1503.85,0.73891,0.97955,1.26766,0.94737,0.94146,0.98365,0.88044,0.51187,0.39533,0.93759,0.009175,0.009175,0.009175
27,1559.77,0.74245,0.96928,1.27072,0.96226,0.91858,0.97188,0.85457,0.56172,0.4453,0.95329,0.009142,0.009142,0.009142
28,1615.04,0.71649,0.9559,1.2528,0.94682,0.94695,0.97978,0.86278,0.56956,0.40556,0.94983,0.009109,0.009109,0.009109
29,1671.39,0.72609,0.9581,1.26145,0.96775,0.92694,0.98035,0.87824,0.54359,0.42608,0.9755,0.009076,0.009076,0.009076
30,1727.1,0.71657,0.95552,1.25738,0.9529,0.95444,0.9881,0.88834,0.5209,0.3942,0.93031,0.009043,0.009043,0.009043
31,1783.13,0.71862,0.95298,1.25682,0.95547,0.93742,0.979,0.88479,0.49804,0.36854,0.91198,0.00901,0.00901,0.00901
32,1840.27,0.71996,0.93062,1.25044,0.97033,0.95345,0.9892,0.89362,0.49183,0.34144,0.89887,0.008977,0.008977,0.008977
33,1895.12,0.69982,0.91663,1.24098,0.98149,0.93231,0.9883,0.89275,0.49972,0.3648,0.91048,0.008944,0.008944,0.008944
34,1950.58,0.71016,0.91413,1.24905,0.96531,0.96902,0.99045,0.89394,0.47142,0.33818,0.91426,0.008911,0.008911,0.008911
35,2007.25,0.69228,0.90214,1.23253,0.97596,0.93994,0.98821,0.89868,0.4976,0.37113,0.91369,0.008878,0.008878,0.008878
36,2062.68,0.69908,0.91173,1.24331,0.9482,0.95783,0.98361,0.89666,0.46655,0.37133,0.88921,0.008845,0.008845,0.008845
