epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4508,0.69954,3.11773,1.33799,0.00596,1,0.21983,0.20634,0.41738,3.1008,0.66249,0.000327684,0.000327684,0.000327684
2,42.9273,0.59443,2.44374,1.22878,0.1965,0.8114,0.24276,0.19501,0.73011,2.12937,0.95099,0.000654473,0.000654473,0.000654473
3,62.5077,0.57875,2.04503,1.22133,0.1878,0.75478,0.24847,0.22281,0.61427,1.94062,0.87913,0.000974662,0.000974662,0.000974662
4,82.5918,0.53188,1.9013,1.1644,0.25582,0.74995,0.3413,0.30498,0.65253,2.12633,0.88329,0.0009703,0.0009703,0.0009703
5,102.412,0.49384,1.809,1.13786,0.26587,0.67102,0.38569,0.32231,0.7196,2.17721,0.91972,0.0009604,0.0009604,0.0009604
6,122.293,0.49789,1.65355,1.14083,0.54706,0.63758,0.64752,0.61594,0.45129,1.33761,0.73502,0.0009505,0.0009505,0.0009505
7,142.603,0.48469,1.58699,1.12835,0.45712,0.66419,0.59956,0.55821,0.60938,1.44391,0.76503,0.0009406,0.0009406,0.0009406
8,160.405,0.43447,1.50441,1.1021,0.65755,0.69787,0.7561,0.7114,0.52056,1.26422,0.80426,0.0009307,0.0009307,0.0009307
9,180.097,0.43257,1.4637,1.09671,0.36057,0.66645,0.50378,0.4433,0.46671,1.99463,0.75065,0.0009208,0.0009208,0.0009208
10,198.723,0.41068,1.37876,1.08285,0.6489,0.71365,0.78157,0.73197,0.71675,1.33402,0.86939,0.0009109,0.0009109,0.0009109
11,215.27,0.41781,1.34328,1.08961,0.64616,0.74621,0.77066,0.72448,0.56012,1.10555,0.73215,0.000901,0.000901,0.000901
12,231.999,0.40672,1.27103,1.06728,0.66513,0.84721,0.80082,0.75265,0.44482,1.02169,0.71916,0.0008911,0.0008911,0.0008911
13,249.119,0.38156,1.25226,1.05377,0.32651,0.61795,0.44267,0.42221,0.54484,2.49371,0.78713,0.0008812,0.0008812,0.0008812
14,266.156,0.36908,1.22243,1.05163,0.68204,0.77505,0.80195,0.75269,0.54558,1.05644,0.74461,0.0008713,0.0008713,0.0008713
